Statistical unit;Unit of measure;Sex;Age;Reference area;Time Period;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
IMR:Infant mortality rate;LB_1000:Per 1,000 live births;_T:Total;Y0T1:0-1 years;IR:Iran (Islamic Republic of);IMR:LB_1000:_T:Y0T1:IR;;12.460.000;11.940.000;11.450.000;10.960.000;10.460.000;9.940.000;9.380.000;8.820.000;8.270.000;7.730.000;7.220.000;6.770.000;6.360.000;6.010.000;5.690.000;54;5.130.000;4.870.000;4.630.000;4.410.000;4.210.000;4.030.000;3.870.000;3.720.000;3.570.000;3.420.000;3.270.000;3.120.000;2.970.000;2.820.000;2.680.000;2.540.000;2.400.000;2.280.000;2.160.000;2.040.000;1.930.000;1.830.000;1.730.000;1.650.000;1.580.000;1.510.000;1.460.000;14;1.350.000;13;
POP_GROWTH:Population growth;PT_ANNUAL:annual %;_T:Total;_T:Total;IR:Iran (Islamic Republic of);POP_GROWTH:PT_ANNUAL:_T:_T:IR;266.106;265.524;267.229;272.235;281.158;292.988;303.089;313.075;328.335;349.643;372.947;392.874;405.825;412.029;410.655;402.564;396.356;386.421;360.273;315.548;261.101;202.363;153.096;124.602;123.642;141.401;164.944;181.425;187.994;180.216;162.997;144.801;131.319;121.260;116.217;114.928;113.813;112.137;112.433;114.927;118.708;123.163;126.625;127.602;125.216;120.352;114.879;109.684
ILO_LF:ILO Labour force;PER:Number of persons;_T:Total;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_LF:PER:_T:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;14390;14600;14794;15010;15271;15667;16394;17191;18052;18974;20004;21100;22261;23469;24693;24718;24706;23959;24639;24633;24726;24819;24901;24961;25937;27165;27345
PHR_USD310:Poverty headcount ratio at $3.10 a day;PT_POP:as % of total population;_T:Total;_T:Total;IR:Iran (Islamic Republic of);PHR_USD310:PT_POP:_T:_T:IR;;;;;;;;;;;;;;;;;2.044.000;;;;1.846.000;;;;1.407.000;;;;1.240.000;;;;;;;1.118.000;;;;305.000;;;;0.66000;;;;
ILO_EMP:ILO Employment;PER:Number of persons;F:Female;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_EMP:PER:F:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;1227;1307;1376;1460;1539;1632;1786;1936;2109;2261;2526;2911;3275;3762;4039;4011;3972;3515;3781;3575;3582;3504;3534;3290;3697;4148;4075
GDP_MKT:GDP at market prices;USD_CONST2010:constant 2010 US$;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP_MKT:USD_CONST2010:_Z:_Z:IR;20.002.401.829.524.200;22.886.786.569.339.700;26.185.996.333.096.000;28.428.382.113.431.500;30.275.332.635.749.700;29.542.871.777.557.300;34.634.181.221.960.400;33.226.340.293.217.200;28.557.318.309.036.700;25.554.806.437.978.200;18.520.469.491.948.900;17.561.842.880.180.300;22.340.492.772.220.200;24.253.403.024.544.600;22.122.694.800.891.300;22.598.822.313.377.800;20.292.332.501.197.500;20.423.931.765.572.800;19.321.813.284.952.200;20.485.155.376.845.400;23.319.026.707.057.800;26.206.710.914.962.500;26.949.599.815.068.600;27.229.875.082.889.900;26.818.271.626.915.600;27.430.441.873.850.600;28.849.496.393.512.200;28.988.564.488.033.800;29.619.884.151.362.200;29.873.269.999.806.000;31.623.266.051.980.400;31.869.497.050.146.300;34.184.991.653.291.300;37.170.908.613.317.200;38.796.953.458.791.600;40.034.500.265.963.500;42.036.143.313.351.000;45.464.515.960.038.000;45.578.566.677.838.100;46.037.718.530.472.100;48.706.957.046.376.500;49.995.605.736.296.500;46.273.654.354.884.100;46.183.849.467.711.700;48.309.885.513.567.700;47.671.883.368.184.100;54.058.117.587.524.200;56.382.624.796.182.800
POP:Population;PER:Number of persons;_T:Total;Y_GE65:65 years and over;IR:Iran (Islamic Republic of);POP:PER:_T:Y_GE65:IR;94.259.600;96.703.000;98.988.500;101.041.700;102.757.000;104.103.300;106.529.400;108.686.000;110.733.200;112.820.500;115.044.900;118.821.700;122.691.400;127.048.800;132.467.100;139.301.300;148.207.900;158.240.900;168.733.500;178.759.800;187.823.500;196.721.700;204.643.900;212.146.000;219.962.900;228.530.000;237.948.000;247.827.600;257.982.400;268.109.400;278.054.700;291.598.000;305.439.700;319.504.200;333.393.400;346.689.600;352.061.100;356.444.900;360.140.400;363.706.500;367.693.100;371.294.400;375.249.900;380.446.400;388.241.500;399.550.700;418.639.300;441.491.700
ILO_LFPR:ILO Labour force participation rate;PT:Percentage;F:Female;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_LFPR:PT:F:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;990.000;10;1.010.000;1.030.000;1.050.000;1.070.000;1.140.000;1.220.000;13;1.390.000;1.490.000;1.590.000;17;1.810.000;1.940.000;1.850.000;1.770.000;1.550.000;1.640.000;16;1.530.000;1.470.000;1.420.000;1.370.000;1.520.000;1.710.000;1.680.000
PLR_PPP_GDP:Price level ratio of PPP conversion factor (GDP);MKT_XR:Market exchange rate;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);PLR_PPP_GDP:MKT_XR:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;0.30147;;;0.12186;0.13654;0.17551;0.20465;0.18945;0.17756;0.17902;0.15917;0.17878;0.16641;0.17912;0.20672;0.23127;0.25129;0.29735;0.33762;0.33826;0.37156;0.42487;0.46260;0.35602;0.31079;0.27672;0.26163;0.25848
ILO_POP:ILO Population;PER:Number of persons;M:Male;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_POP:PER:M:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;16007;16388;16768;17193;17698;18399;19172;20000;20860;21738;22700;23688;24692;25673;26584;27148;27633;28045;28411;28759;29084;29410;29734;30050;30361;30688;31020
